Time,ADC Value,Std Deviation,Calibrated OD
7770,2114.47,129.4075,0.299819
7800,2127.0,131.8708,0.2856808
7830,2117.09,132.1761,0.2968556
7860,2104.82,131.3366,0.3107647
7890,2123.25,131.38,0.2899033
7920,2108.48,130.0772,0.3066074
7950,2100.76,130.8771,0.3153848
7980,2118.93,130.743,0.294777
8010,2112.94,132.603,0.3015511
8040,2105.41,131.9553,0.3100942
8070,2118.05,131.0818,0.2957709
8100,2120.01,130.2567,0.2935575
8130,2109.15,130.9796,0.3058472
8160,2113.79,130.7618,0.3005886
8190,2101.08,130.6223,0.3150202
8220,2109.65,131.4195,0.3052799
8250,2118.89,130.5969,0.2948222
8280,2103.22,131.0266,0.3125844
8310,2106.74,129.6268,0.3085829
8340,2115.09,130.353,0.2991172
8370,2112.43,129.2517,0.3021288
8400,2113.13,130.9748,0.301336
8430,2109.29,132.0289,0.3056881
8460,2118.31,131.8755,0.2954771
8490,2098.12,129.5594,0.3183937
8520,2122.91,132.0356,0.2902866
8550,2120.64,130.8733,0.2928467
8580,2107.47,130.7124,0.3077538
8610,2115.11,130.7052,0.2990947
8640,2102.36,132.1447,0.313563
8670,2108.85,132.2622,0.3061873
8700,2118.14,130.6184,0.2956693
8730,2113.47,130.7178,0.3009509
8760,2117.0,130.8727,0.2969574
8790,2099.51,130.1287,0.3168091
8820,2110.88,130.1997,0.3038852
8850,2112.3,130.6946,0.3022758
8880,2109.64,131.104,0.3052914
8910,2103.89,130.2083,0.3118223
8940,2118.47,131.3427,0.2952965
8970,2110.7,131.3976,0.3040893
9000,2114.21,131.7499,0.3001132
9030,2106.96,131.1723,0.308333
9060,2105.64,129.9858,0.3098328
9090,2103.76,132.5023,0.3119701
9120,2113.44,130.077,0.3009849
9150,2094.88,128.8056,0.3220921
9180,2117.68,131.352,0.296189
9210,2107.42,132.0369,0.3078108
9240,2097.4,129.2489,0.3192153
9270,2110.1,131.069,0.3047694
9300,2107.98,130.4213,0.3071748
9330,2108.87,129.1365,0.3061646
9360,2115.92,130.5069,0.2981786
9390,2101.16,132.076,0.3149293
9420,2101.77,130.7896,0.3142347
9450,2111.7,132.3206,0.3029557
9480,2114.89,130.7625,0.2993438
9510,2111.53,131.6165,0.3031484
9540,2108.76,130.792,0.3062895
9570,2110.02,130.4739,0.3048602
9600,2092.5,129.6787,0.3248122
9630,2101.72,130.8133,0.3142916
9660,2112.34,130.1465,0.3022305
9690,2109.63,130.6178,0.3053026
9720,2119.59,130.4838,0.2940316
9750,2100.02,145.6881,0.3162278
9780,2095.12,130.0645,0.3218177
9810,2108.98,130.8308,0.30604
9840,2115.32,132.3302,0.2988572
9870,2113.23,131.121,0.3012226
9900,2106.13,129.8759,0.3092761
9930,2099.4,132.1624,0.3169346
9960,2111.62,130.9265,0.3030462
9990,2099.66,130.5875,0.3166383
10020,2097.87,128.7249,0.3186789
10050,2096.82,130.9143,0.319877
10080,2109.76,130.7541,0.3051551
10110,2099.18,130.9358,0.3171854
10140,2105.55,129.6463,0.3099348
10170,2106.85,131.3052,0.3084579
10200,2115.45,131.0815,0.2987101
10230,2116.66,131.1261,0.2973419
10260,2100.32,130.3788,0.315886
