Time,ADC Value,Std Deviation,Calibrated OD
8970,2270.58,157.2376,0.1697564
9000,2278.82,150.7824,0.1610881
9030,2275.26,153.2025,0.1648293
9060,2273.25,149.9321,0.1669441
9090,2267.7,154.22,0.1727935
9120,2272.44,150.4523,0.167797
9150,2273.32,154.2035,0.1668705
9180,2273.14,150.3725,0.16706
9210,2279.56,157.2502,0.1603111
9240,2278.52,150.5777,0.1614031
9270,2269.68,155.8481,0.1707051
9300,2280.12,150.1213,0.1597233
9330,2271.68,155.3319,0.1685975
9360,2269.14,152.7441,0.1712745
9390,2275.14,156.6347,0.1649556
9420,2271.98,149.4829,0.1682815
9450,2272.75,155.5509,0.1674705
9480,2280.6,150.6219,0.1592197
9510,2277.14,156.3045,0.162853
9540,2275.74,151.5966,0.1643245
9570,2276.64,154.4838,0.1633785
9600,2273.58,151.0645,0.1665967
9630,2274.8,156.1546,0.1653131
9660,2276.02,151.2913,0.1640302
9690,2271.85,156.388,0.1684182
9720,2272.21,150.1059,0.1680392
9750,2272.83,155.3405,0.1673862
9780,2280.68,151.3489,0.1591359
9810,2277.74,156.5819,0.1622225
9840,2275.45,150.5931,0.1646295
9870,2267.88,155.5693,0.1726036
9900,2272.74,150.375,0.1674812
9930,2267.08,155.4404,0.1734478
9960,2278.94,145.5176,0.1609621
9990,2273.34,155.7935,0.1668494
10020,2274.48,150.4328,0.1656498
10050,2277.25,158.2614,0.1627373
10080,2277.96,151.1344,0.1619915
10110,2274.83,155.1766,0.1652815
10140,2269.77,149.8343,0.1706101
10170,2268.4,156.7479,0.1720551
10200,2269.32,149.1605,0.1710846
10230,2269.59,156.8891,0.1707998
10260,2271.62,150.3583,0.1686605
10290,2273.75,154.9183,0.166418
10320,2272.76,149.3105,0.16746
10350,2277.42,141.7065,0.1625588
10380,2282.22,149.2644,0.1575205
10410,2276.26,157.4388,0.1637778
10440,2278.79,150.6876,0.1611196
10470,2271.6,156.9139,0.1686815
10500,2274.02,150.1847,0.1661337
10530,2272.13,157.3433,0.1681235
10560,2276.82,149.4147,0.1631891
10590,2276.3,156.297,0.1637357
10620,2275.23,150.2369,0.1648608
10650,2268.63,156.4244,0.1718125
10680,2273.55,149.6638,0.1666283
10710,2272.16,151.3059,0.168092
10740,2272.86,149.2652,0.1673546
10770,2275.85,155.9224,0.1642087
10800,2276.97,150.0484,0.1630316
10830,2273.37,156.1241,0.1668177
10860,2280.61,151.1897,0.1592091
10890,2272.37,156.9347,0.1678705
10920,2271.22,150.6801,0.1690821
10950,2277.41,155.8852,0.1625693
10980,2272.6,149.9129,0.1676285
11010,2275.69,157.2299,0.1643772
11040,2277.53,150.8381,0.1624431
11070,2275.38,155.9642,0.1647032
11100,2271.8,150.4102,0.168471
11130,2276.8,156.0447,0.1632102
11160,2270.23,144.6289,0.1701253
11190,2281.64,154.3191,0.1581288
11220,2270.85,150.3019,0.1694717
11250,2275.51,155.1286,0.1645664
11280,2272.81,148.8782,0.1674074
11310,2274.03,156.3998,0.1661233
11340,2271.84,151.3165,0.1684288
11370,2278.3,155.4148,0.1616341
11400,2271.13,149.4648,0.1691769
11430,2272.55,154.2455,0.1676811
11460,2276.15,148.8456,0.1638936
11490,2274.1,155.0347,0.1660495
11520,2273.44,149.5501,0.1667442
11550,2275.48,156.8957,0.164598
11580,2277.23,149.4608,0.1627584
11610,2269.82,154.6166,0.1705574
11640,2273.97,150.1575,0.1661864
11670,2272.0,155.9644,0.1682603
11700,2267.22,149.0485,0.1733001
11730,2272.81,155.9827,0.1674074
11760,2270.05,150.1227,0.1703149
11790,2273.29,155.0218,0.166902
11820,2273.64,149.5696,0.1665339
11850,2269.69,154.7995,0.1706946
11880,2278.28,149.7108,0.1616552
11910,2272.84,155.1589,0.1673757
11940,2274.11,149.6212,0.166039
11970,2271.72,155.9222,0.1685553
12000,2268.27,149.2502,0.1721921
12030,2274.32,154.9134,0.1658181
12060,2274.51,150.8845,0.1656183
